StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,House Features_1,House Features_2,House Features_3,House Features_4,House Features_5,House Features_6,House Features_7,House Features_8,Neighborhood Feature_1,Neighborhood Feature_2,Neighborhood Feature_3,Neighborhood Feature_4,Neighborhood Feature_5,Neighborhood Feature_6,Neighborhood Feature_7,Neighborhood Feature_8,Neighborhood Feature_9,Neighborhood Feature_10,Neighborhood Feature_11,Location Features_1,Location Features_2,Location Features_3,Location Features_12,Location Features_4,Location Features_5,Location Features_6,Location Features_7,Location Features_8,Location Features_9,Location Features_10,Location Features_11,Q10#1_1,Q10#1_2,Q10#1_3,Q10#1_4,Q10#1_5,Q10#1_6,Q10#1_7,Q10#1_8,Q10#2_1,Q10#2_2,Q10#2_3,Q10#2_4,Q10#2_5,Q10#2_6,Q10#2_7,Q10#2_8,Q10#3_1,Q10#3_2,Q10#3_3,Q10#3_4,Q10#3_5,Q10#3_6,Q10#3_7,Q10#3_8,Q11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Price","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Price per SQFT","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - No. of Bedrooms / Bathrooms","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Square Footage","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - House Type (Single Family / Townhouse / Condo / PUD)","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Age of Property","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Public School Scores","Q1/4. House Features

Please rate if you would like to see the following house features when searching for properties - Have Pool or Not","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Median Household Income of Neighbors","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Median Commute Time of Neighbors","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Race of Neighbors (% of White, Black, Asian, Latino)","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - High % of Family Households","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - High % of Households with Kids","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Mostly Owner-occupied Houses","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Low Vacancies","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Median Age of Neighbors","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Type of Commute for Neighbors (% of Drive, Carpool, Transit, Walk)","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Population Density","Q2/4. Neighborhood Features
Please rate if you would like to see the following neighborhood features when searching for properties - Special Geographics (By Sea or on Hilltop)","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Walkable","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Transitable","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Bikeable","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Safety","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Schools (Public and Private)","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Restaurants","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Coffee Shops","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Bars","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Grocery Stores","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Parks","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Shopping Places","Q3/4. Location Features
Please rate if you would like to see the following location features when searching for properties - Nearby Entertainment","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby School","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Restaurants","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Coffee Shops","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Bars","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Grocery Stores","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Parks","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Shopping Places","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - Closest Distance - Nearby Entertainment","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby School","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Restaurants","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Coffee Shops","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Bars","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Grocery Stores","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Parks","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Shopping Places","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within 

1-mile (20 min walking) - Nearby Entertainment","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby School","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Restaurants","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Coffee Shops","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Bars","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Grocery Stores","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Parks","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Shopping Places","Q3/4. Location Features Of the nearby places that you think would be useful, which feature(s) wou... - No. of Choices within

1/2-mile (10 min walking) - Nearby Entertainment","Q4/4. Additional Features?

Any other feature you think is a must?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}","{""ImportId"":""QID2_8""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID10#1_1""}","{""ImportId"":""QID10#1_2""}","{""ImportId"":""QID10#1_3""}","{""ImportId"":""QID10#1_4""}","{""ImportId"":""QID10#1_5""}","{""ImportId"":""QID10#1_6""}","{""ImportId"":""QID10#1_7""}","{""ImportId"":""QID10#1_8""}","{""ImportId"":""QID10#2_1""}","{""ImportId"":""QID10#2_2""}","{""ImportId"":""QID10#2_3""}","{""ImportId"":""QID10#2_4""}","{""ImportId"":""QID10#2_5""}","{""ImportId"":""QID10#2_6""}","{""ImportId"":""QID10#2_7""}","{""ImportId"":""QID10#2_8""}","{""ImportId"":""QID10#3_1""}","{""ImportId"":""QID10#3_2""}","{""ImportId"":""QID10#3_3""}","{""ImportId"":""QID10#3_4""}","{""ImportId"":""QID10#3_5""}","{""ImportId"":""QID10#3_6""}","{""ImportId"":""QID10#3_7""}","{""ImportId"":""QID10#3_8""}","{""ImportId"":""QID11_TEXT""}"
2018-06-16 00:57:28,2018-06-16 00:58:07,Survey Preview,,100,39,True,2018-06-16 00:58:07,R_2zpWtSlhftbkjkR,,,,,37.550994873047,-122.07780456543,preview,EN,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,Useful to have,Useful to have,Not Important,Not Important,"Must Have
( I have preferences, but no min/max )",Useful to have,Useful to have,"Must Have
( I have a strict min/max )",,,,,,,,,,,,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:00:07,2018-06-16 01:00:26,Survey Preview,,100,19,True,2018-06-16 01:00:26,R_1pySQRANO2bEn6i,,,,,37.550994873047,-122.07780456543,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,"Must Have
( I have preferences, but no min/max )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:15:34,2018-06-16 01:17:34,Survey Preview,,100,120,True,2018-06-16 01:17:35,R_3itkFslq7kRbAYk,,,,,37.550994873047,-122.07780456543,preview,EN,"Must Have
( I have a strict min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,Not Important,Not Important,,Useful to have,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,Useful to have,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:22:44,2018-06-16 01:23:07,Survey Preview,,100,23,True,2018-06-16 01:23:08,R_TcMLHeekkohLEBP,,,,,37.550994873047,-122.07780456543,preview,EN,,,,,,,,,,,,,,,,,,,,Useful to have,Useful to have,Useful to have,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:23:11,2018-06-16 01:23:32,Survey Preview,,100,20,True,2018-06-16 01:23:32,R_1CDsWcwVOJID6Na,,,,,37.550994873047,-122.07780456543,preview,EN,,,,,,,,,,,,,,,,,,,,Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Not Important,Not Important,Useful to have,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:24:34,2018-06-16 01:24:51,Survey Preview Spam,,100,17,True,2018-06-16 01:24:52,R_bBnl40z9pMPmh7H,,,,,37.550994873047,-122.07780456543,preview,EN,,,,,,,,,,,,,,,,,,,,Useful to have,Useful to have,Useful to have,,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:24:56,2018-06-16 01:25:11,Survey Preview Spam,,100,15,True,2018-06-16 01:25:12,R_3EtZJUZVfEdxTD6,,,,,37.550994873047,-122.07780456543,preview,EN,,,,,,,,,,,,,,,,,,,,Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Not Important,Not Important,Useful to have,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16 01:34:04,2018-06-16 01:34:54,Survey Preview,,100,49,True,2018-06-16 01:34:54,R_2tDPfiAQLUq3jk0,,,,,37.550994873047,-122.07780456543,preview,EN,"Must Have
( I have preferences, but no min/max )","Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",,"Must Have
( I have a strict min/max )","Must Have
( I have preferences, but no min/max )","Must Have
( I have preferences, but no min/max )",Useful to have,,,,,,,,Useful to have,Useful to have,Useful to have,,Useful to have,Not Important,Not Important,Not Important,Not Important,Useful to have,Not Important,Not Important,,,,,,,,,,,,,,,,,,,,,,,,,
